,sample_ID,StationID,StationName,Depth,Latitude..degrees_north.,Longitude..degrees_east.,Bot_Depth..m.,Depth.m.,Temperature,Salinity,Chla_fluor,d(NO3),d(SiO3),d(PO4),d(NH4)
4,14,PS99/048-11,EG4,SRF,78.816,-2.729,2605,24,-1.1738,34.4837,1.52,6.343333333,2.376666667,0.341666667,0.08
1,16,PS99/051-1,EG1,SRF,78.99,-5.418,1002,13,-1.5049,33.1704,1.658,3.548333333,0.136666667,0.125,0
16,31,PS99/059-2,HG9,SRF,79.134,2.841,5569,24,-1.244,35.0892,1.895,6.583333333,1.956666667,0.568333333,0.728333333
21,24,PS99/055-1,N4,SRF,79.739,4.508,2708,22,2.6586,33.989,2.206,6.8,2.06,0.491666667,0
32,28,PS99/056-1,HG2,SRF,79.134,4.907,1544,22,2.2989,34.8952,2.233,5.296666667,1.356666667,0.531666667,0
8,45,PS99/066-05,HG1,SRF,79.138,6.088,1270,17,6.2711,35.3311,3.415,,,,
12,4,PS99/042-11,HG4,SRF,79.065,4.185,2461,28,0.4096,34.4399,3.536,6.42,2.108333333,0.401666667,0.166666667
35,7,PS99/044-1,HG5,SRF,79.066,3.66,3116,25,1.7348,32.3625,4.241,7.081666667,1.963333333,0.356666667,0
43,9,PS99/046-1,HG7,SRF,79.05,3.53,3813,35,3.728,33.9573,4.455,2.613333333,1.675,0.091666667,0
25,20,PS99/053-2,N5,SRF,79.921,3.062,2604,19,0.7523,33.5877,7.402,8.211666667,2.343333333,0.648333333,1.563333333
39,37,PS99/054-1,N3,SRF,79.583,5.166,2778,34,3.2782,34.4029,0.952,5.233333333,1.018333333,0.295,0
2,17,PS99/051-1,EG1,EPI,78.99,-5.418,1002,100,-1.1075,34.2284,,,,,
3,18,PS99/051-1,EG1,MESO,78.99,-5.418,1002,971,-0.1388,34.8931,,,,,
5,19,PS99/048-11,EG4,EPI,78.816,-2.729,2605,100,3.8652,35.0533,,,,,
6,13,PS99/048-1,EG4,MESO,78.816,-2.729,2605,1000,-0.2384,34.914,,,,,
7,15,PS99/048-1,EG4,BATHY,78.816,-2.729,2605,2527,-0.7587,34.914,,,,,
9,46,PS99/066-05,HG1,EPI,79.138,6.088,1270,100,4.3821,35.0895,,,,,
10,43,PS99/066-05,HG1,MESO,79.138,6.088,1270,500,1.4606,34.9523,,,,,
11,44,PS99/066-05,HG1,BATHY,79.138,6.088,1270,1253,-0.8122,34.9086,,,,,
13,1,PS99/042-11,HG4,EPI,79.065,4.185,2461,100,3.5104,35.0405,,,,,
14,2,PS99/042-01,HG4,MESO,79.0645,4.185,2460.9,1000,-0.3457,34.9111,,,,,
15,3,PS99/042-01,HG4,BATHY,79.065,4.185,2461,2462,-0.7298,34.9176,,,,,
17,30,PS99/059-2,HG9,EPI,79.134,2.841,5569,100,3.9175,35.0467,,,,,
18,34,PS99/059-2,HG9,MESO,79.134,2.841,5569,1000,-187,34.8967,,,,,
19,35,PS99/059-2,HG9,BATHY,79.134,2.841,5569,2499,-718,34.9191,,,,,
22,25,PS99/055-1,N4,EPI,79.739,4.508,2708,100,3.9415,35.0819,,,,,
23,26,PS99/055-7,N4,MESO,79.739,4.508,2708,1000,-0.4055,34.9111,,,,,
24,27,PS99/055-7,N4,BATHY,79.739,4.508,2708,2500,-0.7365,34.9232,,,,,
26,21,PS99/053-2,N5,EPI,79.921,3.062,2604,100,4.2678,35.1005,,,,,
27,22,PS99/053-2,N5,MESO,79.921,3.062,2604,1000,-0.2288,34.9123,,,,,
28,23,PS99/053-2,N5,BATHY,79.921,3.062,2604,2427,-0.7383,34.9222,,,,,
31,32,PS99/056-1,HG2,BATHY,79.134,4.907,1544,1492,-0.8139,34.9096,,,,,
33,29,PS99/056-1,HG2,EPI,79.134,4.907,1544,100,3.599,35.0439,,,,,
34,33,PS99/056-1,HG2,MESO,79.134,4.907,1544,1000,-0.5765,34.9093,,,,,
36,5,PS99/044-1,HG5,EPI,79.066,3.66,3116,100,3.9421,35.089,,,,,
37,6,PS99/044-1,HG5,MESO,79.066,3.66,3116,2600,-0.7332,34.9243,,,,,
38,8,PS99/044-1,HG5,BATHY,79.066,3.66,3116,3038,-0.7004,34.9247,,,,,
40,38,PS99/054-1,N3,EPI,79.583,5.166,2778,100,4.2459,35.0988,,,,,
41,39,PS99/054-1,N3,MESO,79.583,5.166,2778,1000,-0.3268,34.909,,,,,
42,40,PS99/054-1,N3,BATHY,79.583,5.166,2778,2500,-0.7217,34.9237,,,,,
44,10,PS99/046-1,HG7,EPI,79.05,3.53,3813,100,3.3837,35.0159,,,,,
45,11,PS99/046-1,HG7,MESO,79.05,3.53,3813,1005,-0.2752,34.9084,,,,,
46,12,PS99/046-1,HG7,BATHY,79.05,3.53,3813,3772,-0.6295,34.9243,,,,,
